date,address,species,block,street,trap,addressnumberandstreet,latitude,longitude,addressaccuracy,nummosquitos,wnvpresent,tmax_avg,tmin_avg,tavg_avg,dewpoint_avg,wetbulb_avg,heat_avg,cool_avg,preciptotal_avg,sealevel_avg,resultspeed_avg,resultdir_avg,avgspeed_avg,stnpressure_avg,tmax_stn1,tmin_stn1,tavg_stn1,depart_stn1,dewpoint_stn1,wetbulb_stn1,heat_stn1,cool_stn1,sunrise_stn1,sunset_stn1,depth_stn1,snowfall_stn1,preciptotal_stn1,stnpressure_stn1,sealevel_stn1,resultspeed_stn1,resultdir_stn1,avgspeed_stn1,tmax_stn2,tmin_stn2,tavg_stn2,dewpoint_stn2,wetbulb_stn2,heat_stn2,cool_stn2,preciptotal_stn2,stnpressure_stn2,sealevel_stn2,resultspeed_stn2,resultdir_stn2,avgspeed_stn2,year,month,day
29/5/2007,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,2,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"1100 South Peoria Street, Chicago, IL 60608, USA",CULEX RESTUANS,11, S PEORIA ST,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX RESTUANS,17, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,3,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,5,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"North Streeter Drive, Chicago, IL 60611, USA",CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"North Streeter Drive, Chicago, IL 60611, USA",CULEX RESTUANS,53, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,2,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,8,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.687769,8,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX RESTUANS,15, N LONG AVE,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
29/5/2007,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX RESTUANS,89, S CARPENTER ST,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,1,0,88,62.5,75.5,58.5,65.5,0,10.5,0,30.1,5.8,17,6.95,29.415,88,60,74,10,58,65,0,9,421,1917,0,0,0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0,29.44,30.09,5.8,16,7.4,2007,5,29
5/6/2007,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,3,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,5,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,2,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX PIPIENS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,8,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,2,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,4,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,17, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,2,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,8,2,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,8,9,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX RESTUANS,15, N LONG AVE,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,3,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX RESTUANS,89, S CARPENTER ST,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"9100 West Higgins Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,91, W HIGGINS AVE,T009,"9100  W HIGGINS AVE, Chicago, IL",41.981964,-87.812827,8,2,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,36, N PITTSBURGH AVE,T011,"3600  N PITTSBURGH AVE, Chicago, IL",41.944869,-87.832763,8,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"7200 North Oketo Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,72, N OKETO AVE,T016,"7200  N OKETO AVE, Chicago, IL",42.011601,-87.811506,8,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"3800 North California Avenue, Chicago, IL 60618, USA",CULEX RESTUANS,38, N CALIFORNIA AVE,T019,"3800  N CALIFORNIA AVE, Chicago, IL",41.94983,-87.698457,9,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",CULEX RESTUANS,49, W BALMORAL AVE,T025,"4900  W BALMORAL AVE, Chicago, IL",41.979243,-87.750938,9,1,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
5/6/2007,"5800 North Western Avenue, Chicago, IL 60659, USA",CULEX RESTUANS,58, N WESTERN AVE,T028,"5800  N WESTERN AVE, Chicago, IL",41.986921,-87.689778,9,2,0,63.5,49,56.5,47.5,51.5,8.5,0,0.345,29.785,5.7,4,7.85,29.13,64,47,56,-9,48,51,9,0,417,1923,0,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
